                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.91891,                0.80374,                 1.2251,                 0.9819,                      1,                  0.995,                0.92141,                0.48285,                0.52048,                0.84677,              0.0007922,              0.0007922,              0.0007922
                    125,                 0.9422,                0.76179,                 1.1805,                0.98598,                      1,                  0.995,                0.84656,                 0.7209,                0.60426,                0.87793,              0.0007823,              0.0007823,              0.0007823
                    126,                0.88735,                0.71936,                 1.1309,                 0.9904,                      1,                  0.995,                0.79732,                0.88444,                0.63641,                 0.9408,              0.0007724,              0.0007724,              0.0007724
                    127,                0.91247,                0.75341,                 1.2263,                0.99226,                      1,                  0.995,                0.79688,                0.82907,                0.60421,                0.92493,              0.0007625,              0.0007625,              0.0007625
                    128,                0.89862,                0.76079,                 1.1846,                0.99743,                      1,                  0.995,                0.84619,                0.67918,                0.60227,                 0.9046,              0.0007526,              0.0007526,              0.0007526
                    129,                0.93807,                0.77401,                 1.2308,                      1,                0.99629,                  0.995,                0.94571,                0.61995,                0.62022,                 0.8897,              0.0007427,              0.0007427,              0.0007427
                    130,                  1.019,                0.79442,                 1.2328,                      1,                0.98581,                  0.995,                0.94569,                 0.6249,                0.58464,                0.86813,              0.0007328,              0.0007328,              0.0007328
                    131,                0.98472,                0.81102,                 1.2702,                0.99476,                      1,                  0.995,                0.94567,                0.64266,                0.55492,                0.89157,              0.0007229,              0.0007229,              0.0007229
                    132,                0.99865,                 0.7945,                 1.1985,                 0.9846,                      1,                  0.995,                 0.8955,                0.71166,                0.53386,                0.97513,               0.000713,               0.000713,               0.000713
                    133,                 0.8982,                0.72943,                  1.197,                0.98237,                      1,                  0.995,                 0.8955,                0.61969,                0.51006,                0.97097,              0.0007031,              0.0007031,              0.0007031
                    134,                0.85557,                0.69809,                 1.1594,                0.98176,                      1,                  0.995,                 0.8955,                0.69879,                0.57033,                0.94469,              0.0006932,              0.0006932,              0.0006932
                    135,                0.96342,                0.77052,                 1.1939,                 0.9822,                      1,                  0.995,                 0.8955,                0.62133,                0.53393,                0.90796,              0.0006833,              0.0006833,              0.0006833
                    136,                0.92993,                0.69912,                 1.2174,                0.98383,                      1,                  0.995,                0.89676,                0.87837,                0.54788,                0.89841,              0.0006734,              0.0006734,              0.0006734
                    137,                0.89645,                0.83942,                 1.2208,                 0.9843,                      1,                  0.995,                0.94616,                0.71481,                0.54708,                0.87157,              0.0006635,              0.0006635,              0.0006635
                    138,                0.95288,                0.76048,                 1.2082,                0.98331,                      1,                  0.995,                0.84805,                0.70807,                0.54382,                0.93036,              0.0006536,              0.0006536,              0.0006536
                    139,                 0.9626,                0.72345,                 1.1885,                0.98295,                      1,                  0.995,                0.82439,                 0.8446,                0.51322,                0.96449,              0.0006437,              0.0006437,              0.0006437
                    140,                0.89981,                0.75452,                 1.2093,                0.98198,                      1,                  0.995,                  0.796,                 1.1411,                0.53661,                 1.0716,              0.0006338,              0.0006338,              0.0006338
